COD_CANTON,CANTON,ARCH_CANTON,PROVINCIA
101,CUENCA,0101 CUENCA,AZUAY
102,GIRON,0102 GIRON,AZUAY
103,GUALACEO,0103 GUALACEO,AZUAY
104,NABON,0104 NABON,AZUAY
105,PAUTE,0105 PAUTE,AZUAY
106,PUCARA,0106 PUCARA,AZUAY
107,SAN FERNANDO,0107 SAN FERNANDO,AZUAY
108,SANTA ISABEL,0108 SANTA ISABEL,AZUAY
109,SIGSIG,0109 SIGSIG,AZUAY
110,ONA,0110 ONA,AZUAY
111,CHORDELEG,0111 CHORDELEG,AZUAY
112,EL PAN,0112 EL PAN,AZUAY
113,SEVILLA DE ORO,0113 SEVILLA DE ORO,AZUAY
114,GUACHAPALA,0114 GUACHAPALA,AZUAY
115,CAMILO PONCE ENRIQUEZ,0115 CAMILO PONCE ENRIQUEZ,AZUAY
201,LAS NAVES,0201 LAS NAVES,BOLIVAR
202,CHILLANES,0202 CHILLANES,BOLIVAR
203,ECHEANDIA,0203 ECHEANDIA,BOLIVAR
204,GUARANDA,0204 GUARANDA,BOLIVAR
205,SAN MIGUEL,0205 SAN MIGUEL,BOLIVAR
206,CALUMA,0206 CALUMA,BOLIVAR
207,SAN JOSE DE CHIMBO,0207 SAN JOSE DE CHIMBO,BOLIVAR
301,AZOGUES,0301 AZOGUES,CANAR
302,BIBLIAN,0302 BIBLIAN,CANAR
303,CANAR,0303 CANAR,CANAR
304,LA TRONCAL,0304 LA TRONCAL,CANAR
305,EL TAMBO,0305 EL TAMBO,CANAR
306,DELEG,0306 DELEG,CANAR
307,SUSCAL,0307 SUSCAL,CANAR
401,TULCAN,0401 TULCAN,CARCHI
402,BOLIVAR,0402 BOLIVAR,CARCHI
403,ESPEJO,0403 ESPEJO,CARCHI
404,MIRA,0404 MIRA,CARCHI
405,MONTUFAR,0405 MONTUFAR,CARCHI
406,SAN PEDRO DE HUACA,0406 SAN PEDRO DE HUACA,CARCHI
501,LATACUNGA,0501 LATACUNGA,COTOPAXI
502,LA MANA,0502 LA MANA,COTOPAXI
503,PANGUA,0503 PANGUA,COTOPAXI
504,PUJILI,0504 PUJILI,COTOPAXI
505,SALCEDO,0505 SALCEDO,COTOPAXI
506,SAQUISILI,0506 SAQUISILI,COTOPAXI
507,SIGCHOS,0507 SIGCHOS,COTOPAXI
601,RIOBAMBA,0601 RIOBAMBA,CHIMBORAZO
602,ALAUSI,0602 ALAUSI,CHIMBORAZO
603,COLTA,0603 COLTA,CHIMBORAZO
604,CHAMBO,0604 CHAMBO,CHIMBORAZO
605,CHUNCHI,0605 CHUNCHI,CHIMBORAZO
606,GUAMOTE,0606 GUAMOTE,CHIMBORAZO
607,GUANO,0607 GUANO,CHIMBORAZO
608,PALLATANGA,0608 PALLATANGA,CHIMBORAZO
609,PENIPE,0609 PENIPE,CHIMBORAZO
610,CUMANDA,0610 CUMANDA,CHIMBORAZO
701,MACHALA,0701 MACHALA,EL ORO
702,ARENILLAS,0702 ARENILLAS,EL ORO
703,ATAHUALPA,0703 ATAHUALPA,EL ORO
